number,title,writers,originalAirDate,desc,id
122 - 8,Fun on a Bun,Dan Vebber,"August 1, 2012","The Planet Express crew attends Oktoberfest, where Bender enters a sausage making contest. Fry falls victim to a sausage making accident, causing him and Leela to lose their memories of each other.",110
125 - 11,31st Century Fox,Patric M. Verrone,"August 29, 2012",Bender has a manhunt launched on him after he saves a robot fox from being killed by hunters. Leela reluctantly tries to support Bender in pro animal right for robot animals,111
127 - 13,Naturama,"Eric Rogers, Michael Saikin, Neil Mukhopadhyay","August 29, 2012",The Planet Express crew are reimangined as animals in a nature documentary.,112
123 - 9,Free Will Hunting,David X. Cohen,"August 8, 2012","Bender realizes that as a robot, he has no free will so he embarks on a quest to find out his life's true meaning.",113
124 - 10,Near-Death Wish,Lance Kramer,"August 15, 2012",Professor Farnsworth gets very upset after he finds out his parents are still alive on the Near Death Star and are coming out of virtual retirement there and decides to pay them a visit.,114
126 - 12,Viva Mars Vegas,Josh Weinstein,"August 22, 2012",The Planet Express Crew heads to Mars Vegas and must upstage a heist in order to reclaim some property that was stolen by the Robot Mafia while Zoidberg has the time of his life after he gets lucky in gambling and wins a lot of money .,115
128 - 1,Forty Percent Leadbelly,Ken Keeler,"July 3, 2013","Bender meets his idol, who is a folksinger who has been arrested and jailed over 30 times.  Unfortunatley, Bender becomes obsessed with imitating that singer's lifestyle and that leads to horrific consequences.",116
129 - 2,2-D Blacktop,Michael Rowe,"June 19, 2013","One of Farnsworths inventions goes haywire after a spaceship race and it puts himself, Fry, Leela, and Bender into an alternate 2-D dimension.",117
130 - 3,T.: The Terrestrial,Josh Weinstein,"June 26, 2013","Fry unexpectedly crash lands on Omicron Persei 8 and is befriended by none other than Lrr's son, Jrr, who tries to protect him from his father who wants to experiment on him for unknown reasons. ",118
131 - 4,Fry and Leela's Big Fling,Eric Rogers,"June 19, 2013","Fry and Leela try to fix the cracks in their relationship when they run into Leela's ex boyfriend, Sean.  Bender, Amy, and Zoidberg deliver a bunch of tires to a company run by monkeys.",119
134 - 7,Calculon 2.0,Lewis Morton,"July 24, 2013","After his death in 'The Thief of Baghead', Calculon is resurrected by downloading a back-up copy of himself into a new body.",120
132 - 5,The Inhuman Torch,Dan Vebber,"July 10, 2013","Bender becomes a heroic firefighter and ends up running into a conspiracy, which involves people mining helium from the sun because of Farnsworth's technology.",121
133 - 6,Saturday Morning Fun Pit,Patric Verrone,"July 17, 2013","An episode featuring three different segements, in the same vein as episodes such as 'Anthology of Interest I', it's sequel 'Anthology of Interest II', 'The Futurama Holiday Spectacular, 'Reincarnation' and 'Naturama.' It is a parodies retro cartoons: the three episodes are parodies of Scooby Doo (Bender Boo & the Mystery Crew), Strawberry Shortcake/The Smurfs (Purpleberry Pond) & G.I.Joe (G.I.Zap).  Like the other three segmented anthologies, this episode is considered non canon.",122
135 - 8,Assie Come Home,Maiya Williams,"July 31, 2013","When going on gang planet Bender is out of print. Then Leela, Fry and Bender will look about his body parts",123
136 - 9,Leela and the Genestalk,Eric Horsted,"August 7, 2013",The reason why Turanga Munda is more mutated than her original appearance is explained.,124
137 - 10,Game of Tones,Michael Rowe,"August 14, 2013",Fry get's inside a dream dated in Dec 31st 1999 looking for a misterious sound that menaces the earth.,125
138 - 11,Murder on the Planet Express,Lewis Morton,"August 21, 2013",A murder happens in the Planet Express Building and the crew tries to find the culprit.,126
139 - 12,Stench and Stenchibility,Eric Horsted,"August 28, 2013","Zoidberg finally finds love in the form of a beautiful alien who has lost her ability to smell.  However, this love is threatened when Zoidberg must perform a nose transplant on his love and his unique odor could make her leave him.",127
140 - 13,Meanwhile,Ken Keeler,"September 4, 2013","Hubert Farnsworth invents a button that can take a person 10 seconds back in time, inadvertently causing major consequences. This episode is the continuation of 'stench and stenchability' will be written as the series finale of Futurama & will feature the long-awaited wedding of Fry & Leela.

From Meanwhile.. The Last Episode Ever Made....
",128
